label,files,chunks,elapsed_ms,files_per_sec,chunks_per_sec,sustained_files_per_sec,sustained_chunks_per_sec,sustained_elapsed_ms,a1_in,a1_out,a1_err,a1_bp,a2_in,a2_out,a2_err,a2_bp,a3_in,a3_out,a3_err,a3_bp,b1_in,b1_out,b1_err,b1_bp,b2_in,b2_out,b2_err,b2_bp,b3_in,b3_out,b3_err,b3_bp,a1_t_recv_us,a1_t_work_us,a1_t_send_us,a2_t_recv_us,a2_t_work_us,a2_t_send_us,a3_t_recv_us,a3_t_work_us,a3_t_send_us,b1_t_recv_us,b1_t_work_us,b1_t_send_us,b2_t_recv_us,b2_t_work_us,b2_t_send_us,b3_t_recv_us,b3_t_work_us,b3_t_send_us,a1_work_ratio,a2_work_ratio,a3_work_ratio,b1_work_ratio,b2_work_ratio,b3_work_ratio,drum_identified,drum_work_ratio,pool_size
a3=32/10ms,212,4269,45338,4.68,94.16,2.06,67.21,62121,4537,4537,0,3369,3509,3418,88,38,340,276,0,0,8067,7555,0,0,7171,7043,0,0,5402,5295,0,0,6387,3001333,286332964,23719,53186589,525418867,660714,129766685,1975,63470536,1496577,7192530,30385469,41767087,3254,97601154,20418527,2255,0.0104,0.0919,0.9949,0.0207,0.5788,0.1730,A3,0.9949,325
a3=32/50ms,194,3713,45142,4.30,82.25,3.57,89.86,35901,4469,4469,0,3297,3441,3353,88,48,290,226,0,0,4996,4484,0,0,4100,3972,0,0,3972,3968,0,0,4949,2664473,181621317,18826,50063543,318580389,462034,87110135,1468,45323424,598370,386921,23040163,23262515,2794,77477148,14934115,2252,0.0145,0.1358,0.9947,0.0129,0.5024,0.1616,A3,0.9947,325
a3=64/10ms,181,4049,45141,4.01,89.70,1.55,44.74,82506,4533,4533,0,3386,3505,3409,88,24,501,373,0,0,8586,8074,0,0,7558,7430,0,0,5178,5075,0,0,5142,2536465,369140107,29923,50959646,691924610,585750,178752683,1299,75420662,1765778,15553167,49642944,42438343,3316,115888859,21406163,2143,0.0068,0.0686,0.9967,0.0190,0.4609,0.1559,A3,0.9967,325
a3=64/50ms,153,2765,68540,2.23,40.34,2.59,50.91,49401,4478,4478,0,3330,3450,3362,88,18,344,216,0,0,3277,2765,0,0,2765,2765,0,0,2765,2765,0,0,6978,3316625,129833634,21835,60593034,158754529,591995,88912997,984,61829238,339892,6373866,17150346,16827150,1668,127110032,10077333,1812,0.0249,0.2762,0.9934,0.0050,0.4952,0.0735,A3,0.9934,325
a3=64/200ms,192,3623,45085,4.26,80.36,1.90,47.35,67449,4518,4518,0,3393,3490,3402,88,27,384,256,0,0,5009,4497,0,0,4497,4497,0,0,4497,4497,0,0,5295,2903785,175768084,19612,50065930,263271093,645466,110456129,1334,64842756,624065,12301905,22675180,27236590,3193,141022848,14558731,1863,0.0163,0.1598,0.9942,0.0080,0.5457,0.0936,A3,0.9942,325
a3=128/50ms,51,396,80838,0.63,4.90,-1.00,-1.00,-1,4631,4631,0,3504,3603,3506,89,8,562,306,0,0,2444,2317,0,0,1292,1164,0,0,1164,908,0,0,5480,3180067,338608637,20081,51671771,630964694,633091,165083989,555,80802146,164032,3717234,77703876,6988984,994,163969340,6387823,462,0.0093,0.0757,0.9962,0.0019,0.0825,0.0375,A3,0.9962,325
a3=128/200ms,58,734,75917,0.76,9.67,0.02,8.01,65300,4513,4513,0,3372,3485,3397,88,21,441,185,0,0,1246,734,0,0,734,734,0,0,734,734,0,0,9400,2916914,300789921,17367,48769708,361285098,800226,84867022,317,75863349,62559,287,7967284,5108151,517,148837243,3156212,618,0.0096,0.1189,0.9907,0.0008,0.3907,0.0208,A3,0.9907,325
a3=256/100ms,64,754,1292883,0.05,0.58,0.00,0.40,1282103,5806,5806,0,4597,5806,5662,144,40,5662,64,5598,0,754,754,0,0,754,754,0,0,754,754,0,0,6381,4115338,1019771029,25295,98981275,3879404223,604113,13489668,323,10010517,91434,297,7931036,5258731,379,2582459398,3126536,452,0.0040,0.0249,0.9571,0.0091,0.3987,0.0012,A3,0.9571,325
